epoch,train_conf_loss,train_dice,train_topk,val_conf_loss,val_dice,val_topk
0,0.61752,0.039938,0.0,0.0,0.0,0.0
1,0.533928,0.040659,0.00641,0.0,0.0,0.0
2,0.517804,0.041287,0.012821,0.0,0.0,0.0
3,0.499016,0.041713,0.00641,0.0,0.0,0.0
4,0.475191,0.041929,0.012821,0.0,0.0,0.0
5,0.446765,0.041678,0.00641,0.0,0.0,0.0
6,0.418401,0.041749,0.012821,0.0,0.0,0.0
7,0.391655,0.041873,0.025641,0.0,0.0,0.0
8,0.366359,0.041797,0.00641,0.0,0.0,0.0
9,0.342722,0.041797,0.025641,0.0,0.0,0.0
10,0.32072,0.041889,0.025641,0.0,0.0,0.0
11,0.300404,0.042037,0.012821,0.0,0.0,0.0
12,0.281756,0.042049,0.012821,0.0,0.0,0.0
13,0.264661,0.042179,0.012821,0.0,0.0,0.0
14,0.248965,0.042376,0.012821,0.0,0.0,0.0
15,0.234917,0.042624,0.00641,0.0,0.0,0.0
16,0.221863,0.043445,0.044872,0.0,0.0,0.0
17,0.21022,0.04446,0.064103,0.0,0.0,0.0
18,0.199637,0.045648,0.083333,0.0,0.0,0.0
19,0.190432,0.045682,0.083333,0.0,0.0,0.0
20,0.18191,0.046293,0.102564,0.0,0.0,0.0
21,0.173597,0.04947,0.102564,0.0,0.0,0.0
22,0.166199,0.051939,0.108974,0.0,0.0,0.0
23,0.159385,0.055434,0.166667,0.0,0.0,0.0
24,0.153192,0.059397,0.160256,0.0,0.0,0.0
25,0.147897,0.061072,0.134615,0.0,0.0,0.0
26,0.142575,0.066485,0.166667,0.0,0.0,0.0
27,0.138281,0.068898,0.185897,0.0,0.0,0.0
28,0.133874,0.072401,0.160256,0.0,0.0,0.0
29,0.130409,0.074409,0.160256,0.0,0.0,0.0
30,0.126361,0.081091,0.185897,0.0,0.0,0.0
0,0.671496,0.038675,0.012821,0.0,0.0,0.0
1,0.580184,0.039989,0.00641,0.0,0.0,0.0
2,0.546345,0.040481,0.019231,0.0,0.0,0.0
3,0.532949,0.040453,0.009615,0.0,0.0,0.0
4,0.524018,0.040457,0.041667,0.0,0.0,0.0
5,0.516208,0.040439,0.112179,0.0,0.0,0.0
6,0.508926,0.040334,0.099359,0.0,0.0,0.0
7,0.501882,0.040222,0.096154,0.0,0.0,0.0
8,0.495026,0.040174,0.057692,0.0,0.0,0.0
9,0.488412,0.04013,0.028846,0.0,0.0,0.0
10,0.482042,0.040131,0.009615,0.0,0.0,0.0
11,0.475917,0.040127,0.00641,0.0,0.0,0.0
12,0.46992,0.040094,0.022436,0.0,0.0,0.0
13,0.463934,0.04006,0.012821,0.0,0.0,0.0
14,0.458179,0.040034,0.009615,0.0,0.0,0.0
15,0.45269,0.040007,0.00641,0.0,0.0,0.0
16,0.447329,0.040012,0.019231,0.0,0.0,0.0
17,0.442142,0.040025,0.019231,0.0,0.0,0.0
18,0.437118,0.039923,0.012821,0.0,0.0,0.0
19,0.432296,0.039906,0.022436,0.0,0.0,0.0
20,0.42766,0.039845,0.016026,0.0,0.0,0.0
21,0.423262,0.039809,0.016026,0.0,0.0,0.0
22,0.419094,0.039758,0.012821,0.0,0.0,0.0
23,0.415141,0.039746,0.016026,0.0,0.0,0.0
24,0.41143,0.039716,0.025641,0.0,0.0,0.0
25,0.407936,0.039684,0.025641,0.0,0.0,0.0
0,0.508192,0.040867,0.007812,0.0,0.0,0.0
1,0.434483,0.04041,0.003906,0.0,0.0,0.0
2,0.410612,0.040946,0.007812,0.0,0.0,0.0
3,0.377674,0.040515,0.011719,0.0,0.0,0.0
4,0.33748,0.038759,0.015625,0.0,0.0,0.0
5,0.295655,0.039145,0.023438,0.0,0.0,0.0
6,0.257569,0.037571,0.015625,0.0,0.0,0.0
7,0.227654,0.03799,0.019531,0.0,0.0,0.0
8,0.203391,0.038181,0.019531,0.0,0.0,0.0
9,0.184244,0.038466,0.027344,0.0,0.0,0.0
10,0.167294,0.037181,0.003906,0.0,0.0,0.0
11,0.155167,0.038998,0.027344,0.0,0.0,0.0
12,0.145717,0.039999,0.023438,0.0,0.0,0.0
13,0.137208,0.039624,0.03125,0.0,0.0,0.0
14,0.131169,0.042939,0.042969,0.0,0.0,0.0
15,0.127513,0.043531,0.058594,0.0,0.0,0.0
16,0.122198,0.046867,0.066406,0.0,0.0,0.0
17,0.11528,0.052614,0.09375,0.0,0.0,0.0
18,0.114121,0.069638,0.136719,0.0,0.0,0.0
19,0.106323,0.068823,0.175781,0.0,0.0,0.0
20,0.102428,0.076875,0.164062,0.0,0.0,0.0
21,0.100716,0.08213,0.140625,0.0,0.0,0.0
22,0.094885,0.097487,0.203125,0.0,0.0,0.0
23,0.091941,0.107274,0.199219,0.0,0.0,0.0
24,0.088498,0.114322,0.21875,0.0,0.0,0.0
25,0.087429,0.120789,0.21875,0.0,0.0,0.0
26,0.087326,0.125399,0.199219,0.0,0.0,0.0
27,0.083225,0.136042,0.242188,0.0,0.0,0.0
28,0.083018,0.146494,0.285156,0.0,0.0,0.0
29,0.076541,0.139046,0.277344,0.0,0.0,0.0
30,0.077785,0.150757,0.394531,0.0,0.0,0.0
31,0.076204,0.159905,0.402344,0.0,0.0,0.0
32,0.073411,0.160563,0.433594,0.0,0.0,0.0
33,0.074474,0.171373,0.457031,0.0,0.0,0.0
34,0.072805,0.169235,0.453125,0.0,0.0,0.0
35,0.072442,0.178638,0.523438,0.0,0.0,0.0
36,0.072601,0.186462,0.523438,0.0,0.0,0.0
37,0.071344,0.181339,0.515625,0.0,0.0,0.0
38,0.071164,0.185713,0.523438,0.0,0.0,0.0
39,0.071171,0.191673,0.546875,0.0,0.0,0.0
40,0.0696,0.186553,0.535156,0.0,0.0,0.0
41,0.069254,0.18998,0.554688,0.0,0.0,0.0
42,0.067546,0.18479,0.542969,0.0,0.0,0.0
43,0.070311,0.197049,0.5625,0.0,0.0,0.0
44,0.068325,0.192368,0.566406,0.0,0.0,0.0
45,0.06966,0.194261,0.566406,0.0,0.0,0.0
46,0.067284,0.188464,0.539062,0.0,0.0,0.0
