epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.095067,0.059881,0.548621,0.0,0.0,0.0,0.098633,0.320312,0.625,0.0,0.0,0.0
1,0.09234,0.061837,0.564139,0.0,0.0,0.0,0.092773,0.298828,0.637695,0.0,0.0,0.0
2,0.089759,0.065047,0.587076,0.0,0.0,0.0,0.097656,0.31543,0.647461,0.0,0.0,0.0
3,0.087069,0.069035,0.608889,0.0,0.0,0.0,0.107422,0.333008,0.643555,0.0,0.0,0.0
4,0.085167,0.072652,0.624707,0.0,0.0,0.0,0.102539,0.344727,0.650391,0.0,0.0,0.0
5,0.085573,0.071507,0.625083,0.0,0.0,0.0,0.114258,0.344727,0.633789,0.0,0.0,0.0
6,0.088471,0.072583,0.632412,0.0,0.0,0.0,0.125,0.335938,0.650391,0.0,0.0,0.0
