epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.054207,0.012255,0.527823,0.505496,0.0,0.0,0.0,0.0,0.125475,0.166033,0.21166,0.0,0.0,0.0
1,0.008475,0.013445,0.484112,0.504528,0.0,0.0,0.0,0.0,0.168568,0.243346,0.43346,0.0,0.0,0.0
2,0.005873,0.013698,0.575676,0.504452,0.0,0.0,0.0,0.0,0.084918,0.185044,0.537389,0.0,0.0,0.0
3,0.003824,0.014612,0.657613,0.505204,0.0,0.0,0.0,0.0,0.084918,0.207858,0.523447,0.0,0.0,0.0
4,0.002666,0.017428,0.691241,0.507639,0.0,0.0,0.0,0.0,0.084918,0.263625,0.588086,0.0,0.0,0.0
5,0.002134,0.021993,0.745223,0.512325,0.0,0.0,0.0,0.0,0.198986,0.424588,0.697085,0.0,0.0,0.0
6,0.001739,0.027548,0.780429,0.51984,0.0,0.0,0.0,0.0,0.372624,0.577947,0.798479,0.0,0.0,0.0
7,0.001455,0.032527,0.799408,0.530216,0.0,0.0,0.0,0.0,0.514575,0.664132,0.82256,0.0,0.0,0.0
8,0.000917,0.047248,0.82938,0.553027,0.0,0.0,0.0,0.0,0.653992,0.73891,0.869455,0.0,0.0,0.0
9,0.000622,0.069053,0.850772,0.573011,0.0,0.0,0.0,0.0,0.722433,0.814956,0.940431,0.0,0.0,0.0
10,0.00028,0.09985,0.869539,0.608535,0.0,0.0,0.0,0.0,0.768061,0.820025,0.904943,0.0,0.0,0.0
11,0.000125,0.122051,0.865481,0.641174,0.0,0.0,0.0,0.0,0.782003,0.833967,0.937896,0.0,0.0,0.0
12,5e-05,0.139223,0.870763,0.670658,0.0,0.0,0.0,0.0,0.801014,0.879594,0.964512,0.0,0.0,0.0
13,6e-06,0.146542,0.853507,0.695782,0.0,0.0,0.0,0.0,0.816223,0.918885,0.983523,0.0,0.0,0.0
14,5e-06,0.147289,0.853573,0.716297,0.0,0.0,0.0,0.0,0.825095,0.91128,0.974651,0.0,0.0,0.0
15,2e-06,0.146524,0.850098,0.734449,0.0,0.0,0.0,0.0,0.811153,0.908745,0.974651,0.0,0.0,0.0
16,1e-06,0.148726,0.842636,0.748854,0.0,0.0,0.0,0.0,0.831432,0.930292,0.984791,0.0,0.0,0.0
