prune_radius,threshold,precision,recall,f_beta,tp,fp,fn
2,0.87,0.632,0.632,0.632,12,7,7
2,0.89,0.706,0.632,0.645,12,5,7
2,0.91,0.786,0.579,0.611,11,3,8
2,0.93,1.0,0.526,0.581,10,0,9
3,0.05,0.016,1.0,0.073,19,1205,0
3,0.07,0.023,1.0,0.107,19,790,0
3,0.09,0.033,1.0,0.146,19,557,0
3,0.11,0.042,1.0,0.179,19,437,0
3,0.13,0.048,0.947,0.2,18,356,1
3,0.15,0.055,0.895,0.221,17,291,2
3,0.17,0.066,0.895,0.256,17,239,2
3,0.19,0.071,0.842,0.265,16,210,3
3,0.21,0.079,0.842,0.287,16,187,3
3,0.23,0.086,0.842,0.305,16,170,3
3,0.25,0.095,0.842,0.327,16,153,3
3,0.27,0.104,0.842,0.348,16,138,3
3,0.29,0.109,0.842,0.359,16,131,3
3,0.31,0.113,0.842,0.369,16,125,3
3,0.33,0.12,0.842,0.383,16,117,3
3,0.35,0.128,0.842,0.398,16,109,3
3,0.37,0.132,0.842,0.406,16,105,3
3,0.39,0.148,0.842,0.435,16,92,3
3,0.41,0.16,0.842,0.455,16,84,3
3,0.43,0.165,0.789,0.449,15,76,4
3,0.45,0.183,0.789,0.475,15,67,4
3,0.47,0.2,0.789,0.497,15,60,4
3,0.49,0.203,0.789,0.5,15,59,4
3,0.51,0.214,0.789,0.514,15,55,4
3,0.53,0.238,0.789,0.54,15,48,4
3,0.55,0.263,0.789,0.564,15,42,4
3,0.57,0.278,0.789,0.577,15,39,4
3,0.59,0.294,0.789,0.591,15,36,4
3,0.61,0.292,0.737,0.565,14,34,5
3,0.63,0.304,0.737,0.574,14,32,5
3,0.65,0.341,0.737,0.598,14,27,5
3,0.67,0.35,0.737,0.603,14,26,5
3,0.69,0.368,0.737,0.614,14,24,5
3,0.71,0.406,0.684,0.602,13,19,6
3,0.73,0.433,0.684,0.613,13,17,6
3,0.75,0.433,0.684,0.613,13,17,6
3,0.77,0.464,0.684,0.625,13,15,6
3,0.79,0.5,0.684,0.637,13,13,6
3,0.81,0.542,0.684,0.65,13,11,6
3,0.83,0.6,0.632,0.625,12,8,7
3,0.85,0.632,0.632,0.632,12,7,7
3,0.87,0.632,0.632,0.632,12,7,7
3,0.89,0.706,0.632,0.645,12,5,7
3,0.91,0.786,0.579,0.611,11,3,8
3,0.93,1.0,0.526,0.581,10,0,9
4,0.05,0.016,0.895,0.075,17,1043,2
4,0.07,0.024,0.895,0.107,17,702,2
4,0.09,0.032,0.895,0.141,17,508,2
4,0.11,0.041,0.895,0.173,17,399,2
4,0.13,0.048,0.895,0.199,17,334,2
4,0.15,0.058,0.895,0.231,17,275,2
4,0.17,0.069,0.895,0.265,17,228,2
4,0.19,0.073,0.842,0.271,16,203,3
4,0.21,0.082,0.842,0.294,16,180,3
4,0.23,0.089,0.842,0.314,16,163,3
4,0.25,0.098,0.842,0.333,16,148,3
4,0.27,0.107,0.842,0.356,16,133,3
4,0.29,0.113,0.842,0.367,16,126,3
4,0.31,0.118,0.842,0.377,16,120,3
4,0.33,0.124,0.842,0.39,16,113,3
4,0.35,0.131,0.842,0.404,16,106,3
4,0.37,0.134,0.842,0.41,16,103,3
4,0.39,0.152,0.842,0.442,16,89,3
4,0.41,0.165,0.842,0.462,16,81,3
4,0.43,0.169,0.789,0.455,15,74,4
4,0.45,0.185,0.789,0.478,15,66,4
4,0.47,0.203,0.789,0.5,15,59,4
4,0.49,0.208,0.789,0.507,15,57,4
4,0.51,0.221,0.789,0.521,15,53,4
4,0.53,0.242,0.789,0.543,15,47,4
4,0.55,0.268,0.789,0.568,15,41,4
4,0.57,0.283,0.789,0.581,15,38,4
4,0.59,0.3,0.789,0.595,15,35,4
4,0.61,0.298,0.737,0.569,14,33,5
4,0.63,0.304,0.737,0.574,14,32,5
4,0.65,0.341,0.737,0.598,14,27,5
4,0.67,0.35,0.737,0.603,14,26,5
4,0.69,0.368,0.737,0.614,14,24,5
4,0.71,0.406,0.684,0.602,13,19,6
4,0.73,0.433,0.684,0.613,13,17,6
4,0.75,0.433,0.684,0.613,13,17,6
4,0.77,0.464,0.684,0.625,13,15,6
4,0.79,0.5,0.684,0.637,13,13,6
4,0.81,0.542,0.684,0.65,13,11,6
4,0.83,0.6,0.632,0.625,12,8,7
4,0.85,0.632,0.632,0.632,12,7,7
4,0.87,0.632,0.632,0.632,12,7,7
4,0.89,0.706,0.632,0.645,12,5,7
4,0.91,0.786,0.579,0.611,11,3,8
4,0.93,1.0,0.526,0.581,10,0,9
5,0.05,0.019,0.895,0.086,17,895,2
5,0.07,0.026,0.895,0.118,17,626,2
5,0.09,0.036,0.895,0.154,17,459,2
5,0.11,0.044,0.895,0.185,17,366,2
5,0.13,0.052,0.895,0.209,17,313,2
5,0.15,0.061,0.895,0.241,17,260,2
5,0.17,0.072,0.895,0.273,17,218,2
5,0.19,0.076,0.842,0.28,16,194,3
5,0.21,0.085,0.842,0.303,16,172,3
5,0.23,0.094,0.842,0.324,16,155,3
5,0.25,0.102,0.842,0.343,16,141,3
5,0.27,0.112,0.842,0.365,16,127,3
5,0.29,0.118,0.842,0.377,16,120,3
5,0.31,0.123,0.842,0.388,16,114,3
5,0.33,0.13,0.842,0.402,16,107,3
5,0.35,0.138,0.842,0.417,16,100,3
5,0.37,0.142,0.842,0.423,16,97,3
5,0.39,0.158,0.842,0.452,16,85,3
5,0.41,0.172,0.842,0.473,16,77,3
5,0.43,0.174,0.789,0.463,15,71,4
5,0.45,0.192,0.789,0.487,15,63,4
5,0.47,0.211,0.789,0.51,15,56,4
5,0.49,0.214,0.789,0.514,15,55,4
5,0.51,0.224,0.789,0.524,15,52,4
5,0.53,0.246,0.789,0.547,15,46,4
5,0.55,0.273,0.789,0.573,15,40,4
5,0.57,0.288,0.789,0.586,15,37,4
5,0.59,0.306,0.789,0.6,15,34,4
5,0.61,0.298,0.737,0.569,14,33,5
5,0.63,0.304,0.737,0.574,14,32,5
5,0.65,0.341,0.737,0.598,14,27,5
5,0.67,0.35,0.737,0.603,14,26,5
5,0.69,0.368,0.737,0.614,14,24,5
5,0.71,0.406,0.684,0.602,13,19,6
5,0.73,0.433,0.684,0.613,13,17,6
5,0.75,0.433,0.684,0.613,13,17,6
5,0.77,0.464,0.684,0.625,13,15,6
5,0.79,0.5,0.684,0.637,13,13,6
5,0.81,0.542,0.684,0.65,13,11,6
5,0.83,0.6,0.632,0.625,12,8,7
5,0.85,0.632,0.632,0.632,12,7,7
5,0.87,0.632,0.632,0.632,12,7,7
5,0.89,0.706,0.632,0.645,12,5,7
5,0.91,0.786,0.579,0.611,11,3,8
5,0.93,1.0,0.526,0.581,10,0,9
