threshold,precision,recall,f_beta,tp,fp,fn
0.45,0.015,0.844,0.068,27,1817,5
0.46,0.015,0.812,0.071,26,1678,6
0.47,0.017,0.812,0.077,26,1541,6
0.48,0.018,0.812,0.083,26,1413,6
0.49,0.019,0.781,0.086,25,1297,7
0.5,0.02,0.75,0.091,24,1172,8
0.51,0.022,0.75,0.099,24,1055,8
0.52,0.024,0.75,0.107,24,965,8
0.53,0.025,0.719,0.11,23,897,9
0.54,0.027,0.719,0.119,23,817,9
0.55,0.029,0.688,0.124,22,734,10
0.56,0.03,0.656,0.129,21,668,11
0.57,0.033,0.656,0.139,21,608,11
0.58,0.036,0.656,0.148,21,562,11
0.59,0.04,0.656,0.16,21,506,11
0.6,0.041,0.625,0.164,20,462,12
0.61,0.037,0.5,0.142,16,420,16
0.62,0.042,0.5,0.157,16,367,16
0.63,0.043,0.469,0.156,15,337,17
0.64,0.041,0.406,0.145,13,307,19
0.65,0.045,0.406,0.155,13,278,19
0.66,0.05,0.406,0.168,13,247,19
0.67,0.054,0.406,0.177,13,226,19
0.68,0.052,0.344,0.162,11,200,21
0.69,0.058,0.344,0.172,11,180,21
0.7,0.064,0.344,0.184,11,160,21
0.71,0.065,0.312,0.177,10,144,22
0.72,0.074,0.312,0.189,10,126,22
0.73,0.081,0.312,0.199,10,113,22
0.74,0.089,0.312,0.208,10,102,22
0.75,0.098,0.312,0.217,10,92,22
0.76,0.098,0.281,0.205,9,83,23
0.77,0.104,0.25,0.195,8,69,24
0.78,0.111,0.25,0.2,8,64,24
0.79,0.129,0.25,0.211,8,54,24
0.8,0.151,0.25,0.221,8,45,24
0.81,0.186,0.25,0.234,8,35,24
0.82,0.211,0.25,0.241,8,30,24
0.83,0.211,0.25,0.241,8,30,24
0.84,0.242,0.25,0.248,8,25,24
0.85,0.292,0.219,0.23,7,17,25
0.86,0.294,0.156,0.172,5,12,27
0.87,0.308,0.125,0.142,4,9,28
0.88,0.333,0.094,0.109,3,6,29
0.89,0.5,0.094,0.112,3,3,29
0.9,0.0,0.0,0.0,0,2,32
0.91,0.0,0.0,0.0,0,1,32
0.92,0.0,0.0,0.0,0,0,32
0.93,0.0,0.0,0.0,0,0,32
0.94,0.0,0.0,0.0,0,0,32
