threshold, precision, recall, f_beta, tp, fp   , fn
     0.25,     0.0  ,    1.0,  0.0  ,  1, 17021,  0
     0.26,     0.0  ,    1.0,  0.0  ,  1, 15444,  0
     0.27,     0.0  ,    1.0,  0.0  ,  1, 13260,  0
     0.28,     0.0  ,    1.0,  0.0  ,  1, 11892,  0
     0.29,     0.0  ,    1.0,  0.001,  1,  9827,  0
     0.3 ,     0.0  ,    1.0,  0.001,  1,  8971,  0
     0.31,     0.0  ,    1.0,  0.001,  1,  7124,  0
     0.32,     0.0  ,    1.0,  0.001,  1,  5045,  0
     0.33,     0.0  ,    1.0,  0.001,  1,  4061,  0
     0.34,     0.0  ,    1.0,  0.002,  1,  2649,  0
     0.35,     0.0  ,    1.0,  0.002,  1,  2309,  0
     0.36,     0.0  ,    1.0,  0.002,  1,  2013,  0
     0.37,     0.001,    1.0,  0.003,  1,  1642,  0
     0.38,     0.001,    1.0,  0.004,  1,  1260,  0
     0.39,     0.001,    1.0,  0.005,  1,  1024,  0
     0.4 ,     0.001,    1.0,  0.006,  1,   856,  0
     0.41,     0.002,    1.0,  0.008,  1,   632,  0
     0.42,     0.002,    1.0,  0.01 ,  1,   491,  0
     0.43,     0.002,    1.0,  0.012,  1,   401,  0
     0.44,     0.003,    1.0,  0.014,  1,   360,  0
     0.45,     0.003,    1.0,  0.016,  1,   305,  0
     0.46,     0.004,    1.0,  0.021,  1,   230,  0
     0.47,     0.007,    1.0,  0.033,  1,   146,  0
     0.48,     0.009,    1.0,  0.042,  1,   115,  0
     0.49,     0.01 ,    1.0,  0.049,  1,    97,  0
     0.5 ,     0.013,    1.0,  0.06 ,  1,    78,  0
     0.51,     0.016,    1.0,  0.075,  1,    62,  0
     0.52,     0.022,    1.0,  0.102,  1,    44,  0
     0.53,     0.028,    1.0,  0.125,  1,    35,  0
     0.54,     0.036,    1.0,  0.156,  1,    27,  0
     0.55,     0.045,    1.0,  0.192,  1,    21,  0
     0.56,     0.067,    1.0,  0.263,  1,    14,  0
     0.57,     0.125,    1.0,  0.417,  1,     7,  0
     0.58,     0.167,    1.0,  0.5  ,  1,     5,  0
     0.59,     0.25 ,    1.0,  0.625,  1,     3,  0
     0.6 ,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.61,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.62,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.63,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.64,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.65,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.66,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.67,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.68,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.69,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.7 ,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.71,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.72,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.73,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.74,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.75,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.76,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.77,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.78,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.79,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.8 ,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.81,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.82,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.83,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.84,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.85,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.86,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.87,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.88,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.89,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.9 ,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.91,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.92,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.93,     0.0  ,    0.0,  0.0  ,  0,     0,  1
     0.94,     0.0  ,    0.0,  0.0  ,  0,     0,  1
