threshold,precision,recall,f_beta,tp,fp,fn
0.05,0.146,0.808,0.423,21,123,5
0.07,0.158,0.808,0.443,21,112,5
0.09,0.163,0.808,0.451,21,108,5
0.11,0.169,0.769,0.45,20,98,6
0.13,0.167,0.731,0.436,19,95,7
0.15,0.179,0.731,0.452,19,87,7
0.17,0.186,0.731,0.461,19,83,7
0.19,0.19,0.731,0.466,19,81,7
0.21,0.198,0.731,0.475,19,77,7
0.23,0.207,0.731,0.485,19,73,7
0.25,0.202,0.692,0.466,18,71,8
0.27,0.207,0.692,0.471,18,69,8
0.29,0.214,0.692,0.479,18,66,8
0.31,0.22,0.692,0.484,18,64,8
0.33,0.222,0.692,0.486,18,63,8
0.35,0.234,0.692,0.497,18,59,8
0.37,0.237,0.692,0.5,18,58,8
0.39,0.247,0.692,0.508,18,55,8
0.41,0.257,0.692,0.517,18,52,8
0.43,0.269,0.692,0.526,18,49,8
0.45,0.281,0.692,0.536,18,46,8
0.47,0.295,0.692,0.545,18,43,8
0.49,0.295,0.692,0.545,18,43,8
0.51,0.305,0.692,0.552,18,41,8
0.53,0.31,0.692,0.556,18,40,8
0.55,0.315,0.654,0.538,17,37,9
0.57,0.333,0.654,0.548,17,34,9
0.59,0.34,0.654,0.552,17,33,9
0.61,0.34,0.654,0.552,17,33,9
0.63,0.347,0.654,0.556,17,32,9
0.65,0.347,0.654,0.556,17,32,9
0.67,0.362,0.654,0.563,17,30,9
0.69,0.356,0.615,0.537,16,29,10
0.71,0.357,0.577,0.514,15,27,11
0.73,0.366,0.577,0.517,15,26,11
0.75,0.385,0.577,0.524,15,24,11
0.77,0.417,0.577,0.536,15,21,11
0.79,0.441,0.577,0.543,15,19,11
0.81,0.484,0.577,0.556,15,16,11
0.83,0.556,0.577,0.573,15,12,11
0.85,0.682,0.577,0.595,15,7,11
0.87,0.714,0.577,0.6,15,6,11
0.89,0.846,0.423,0.47,11,2,15
0.91,0.833,0.192,0.227,5,1,21
0.93,1.0,0.115,0.14,3,0,23
