threshold,precision,recall,f_beta,tp,fp,fn
0.55,0.857,1.0,0.968,6,1,0
0.6,0.857,1.0,0.968,6,1,0
0.65,1.0,1.0,1.0,6,0,0
0.7,1.0,1.0,1.0,6,0,0
0.75,1.0,0.667,0.714,4,0,2
