epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.052455,0.012173,0.5195,0.505448,0.0,0.0,0.0,0.0,0.12294,0.166033,0.207858,0.0,0.0,0.0
1,0.00849,0.013437,0.471691,0.504692,0.0,0.0,0.0,0.0,0.190114,0.238276,0.429658,0.0,0.0,0.0
2,0.005879,0.013703,0.538258,0.504498,0.0,0.0,0.0,0.0,0.119138,0.229404,0.553866,0.0,0.0,0.0
3,0.003819,0.014648,0.649707,0.505202,0.0,0.0,0.0,0.0,0.081115,0.201521,0.544994,0.0,0.0,0.0
4,0.002663,0.017574,0.686819,0.507676,0.0,0.0,0.0,0.0,0.08872,0.258555,0.572877,0.0,0.0,0.0
5,0.002138,0.022151,0.741326,0.512307,0.0,0.0,0.0,0.0,0.188847,0.432193,0.721166,0.0,0.0,0.0
