epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.045368,0.012537,0.546536,0.505554,0.0,0.0,0.0,0.0,0.069708,0.147022,0.234474,0.0,0.0,0.0
1,0.003596,0.014171,0.646119,0.505035,0.0,0.0,0.0,0.0,0.07858,0.181242,0.47782,0.0,0.0,0.0
2,0.002935,0.015548,0.698369,0.505888,0.0,0.0,0.0,0.0,0.087452,0.230672,0.556401,0.0,0.0,0.0
3,0.002465,0.018956,0.720378,0.509098,0.0,0.0,0.0,0.0,0.166033,0.367554,0.633714,0.0,0.0,0.0
4,0.002007,0.022325,0.761581,0.513289,0.0,0.0,0.0,0.0,0.248416,0.481622,0.746515,0.0,0.0,0.0
5,0.001752,0.026141,0.779112,0.518337,0.0,0.0,0.0,0.0,0.392902,0.581749,0.769328,0.0,0.0,0.0
6,0.00145,0.033697,0.808127,0.530275,0.0,0.0,0.0,0.0,0.486692,0.648923,0.803549,0.0,0.0,0.0
7,0.001362,0.042775,0.823585,0.543938,0.0,0.0,0.0,0.0,0.594423,0.692015,0.826362,0.0,0.0,0.0
8,0.000955,0.057334,0.835173,0.563097,0.0,0.0,0.0,0.0,0.676806,0.751584,0.863118,0.0,0.0,0.0
9,0.000687,0.079029,0.846918,0.587433,0.0,0.0,0.0,0.0,0.717364,0.801014,0.930292,0.0,0.0,0.0
