epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top1,train_top5,train_top10,train_top50,val_top1,val_top5,val_top10,val_top50
0,0.686615,0.072823,0.303085,0.0,0.0,0.0,0.0,0.006711,0.013423,0.036913,0.0,0.0,0.0,0.0
1,0.593342,0.074552,0.349842,0.0,0.0,0.0,0.0,0.0,0.003356,0.026846,0.0,0.0,0.0,0.0
2,0.438529,0.071658,0.370742,0.0,0.0,0.0,0.0,0.003356,0.010067,0.050336,0.0,0.0,0.0,0.0
3,0.310303,0.068454,0.370064,0.0,0.0,0.0,0.0,0.003356,0.010067,0.073826,0.0,0.0,0.0,0.0
4,0.240712,0.067105,0.388345,0.0,0.0,0.0,0.003356,0.010067,0.013423,0.057047,0.0,0.0,0.0,0.0
5,0.205501,0.064426,0.399098,0.0,0.0,0.0,0.003356,0.010067,0.02349,0.063758,0.0,0.0,0.0,0.0
6,0.189055,0.064628,0.41764,0.0,0.0,0.0,0.006711,0.016779,0.030201,0.087248,0.0,0.0,0.0,0.0
7,0.183867,0.066477,0.430961,0.0,0.0,0.0,0.0,0.020134,0.02349,0.09396,0.0,0.0,0.0,0.0
8,0.179311,0.065043,0.440944,0.0,0.0,0.0,0.006711,0.02349,0.040268,0.124161,0.0,0.0,0.0,0.0
9,0.178256,0.067043,0.454672,0.0,0.0,0.0,0.006711,0.02349,0.040268,0.100671,0.0,0.0,0.0,0.0
0,0.878852,0.073654,0.290915,0.0,0.0,0.0,0.0,0.0,0.006711,0.030201,0.0,0.0,0.0,0.0
1,0.794335,0.074803,0.296072,0.0,0.0,0.0,0.0,0.0,0.003356,0.02349,0.0,0.0,0.0,0.0
2,0.660296,0.076456,0.309282,0.0,0.0,0.0,0.003356,0.010067,0.013423,0.020134,0.0,0.0,0.0,0.0
3,0.52634,0.075298,0.323309,0.0,0.0,0.0,0.0,0.010067,0.010067,0.030201,0.0,0.0,0.0,0.0
4,0.427036,0.073724,0.337238,0.0,0.0,0.0,0.003356,0.006711,0.010067,0.040268,0.0,0.0,0.0,0.0
5,0.369263,0.075846,0.337235,0.0,0.0,0.0,0.0,0.006711,0.006711,0.09396,0.0,0.0,0.0,0.0
6,0.335511,0.074748,0.335472,0.0,0.0,0.0,0.0,0.0,0.010067,0.157718,0.0,0.0,0.0,0.0
