epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.213281,0.054212,0.534043,0.0,0.0,0.0,0.09375,0.28776,0.64974,0.0,0.0,0.0
1,0.215006,0.053378,0.532579,0.0,0.0,0.0,0.10026,0.296875,0.621094,0.0,0.0,0.0
2,0.214106,0.053771,0.543283,0.0,0.0,0.0,0.091146,0.28125,0.619792,0.0,0.0,0.0
3,0.210981,0.060163,0.572408,0.0,0.0,0.0,0.14974,0.371094,0.686198,0.0,0.0,0.0
4,0.209529,0.062733,0.582406,0.0,0.0,0.0,0.136719,0.351562,0.653646,0.0,0.0,0.0
5,0.211297,0.063363,0.581367,0.0,0.0,0.0,0.136719,0.371094,0.65625,0.0,0.0,0.0
6,0.204213,0.063652,0.583799,0.0,0.0,0.0,0.14974,0.375,0.647135,0.0,0.0,0.0
