epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top1,train_top5,train_top10,train_top50,val_top1,val_top5,val_top10,val_top50
0,0.389263,0.03626,0.325067,0.0,0.0,0.0,0.002083,0.004167,0.014583,0.047917,0.0,0.0,0.0,0.0
1,0.178009,0.035629,0.360103,0.0,0.0,0.0,0.004167,0.0125,0.014583,0.0625,0.0,0.0,0.0,0.0
2,0.10875,0.031943,0.384326,0.0,0.0,0.0,0.010417,0.022917,0.033333,0.116667,0.0,0.0,0.0,0.0
3,0.093179,0.035705,0.445323,0.0,0.0,0.0,0.002083,0.027083,0.052083,0.166667,0.0,0.0,0.0,0.0
4,0.085088,0.051114,0.556278,0.0,0.0,0.0,0.0125,0.05625,0.091667,0.258333,0.0,0.0,0.0,0.0
5,0.07889,0.068777,0.621847,0.0,0.0,0.0,0.035417,0.085417,0.141667,0.375,0.0,0.0,0.0,0.0
6,0.073484,0.084607,0.655936,0.0,0.0,0.0,0.029167,0.11875,0.1875,0.427083,0.0,0.0,0.0,0.0
7,0.069422,0.10226,0.682877,0.0,0.0,0.0,0.029167,0.139583,0.222917,0.479167,0.0,0.0,0.0,0.0
8,0.066221,0.114568,0.703311,0.0,0.0,0.0,0.041667,0.1625,0.2625,0.504167,0.0,0.0,0.0,0.0
9,0.064348,0.122749,0.714181,0.0,0.0,0.0,0.054167,0.19375,0.260417,0.533333,0.0,0.0,0.0,0.0
