epoch, train_conf_loss, train_dice, train_comp, val_conf_loss, val_dice, val_comp, train_top10, train_top50, train_top300, val_top10, val_top50, val_top300
    0,        1.829231,   0.012348,   0.073461,           0.0,      0.0,      0.0,    0.015625,    0.074219,     0.277344,       0.0,       0.0,        0.0
    1,        1.644526,   0.021306,   0.162652,           0.0,      0.0,      0.0,    0.066406,    0.214844,     0.550781,       0.0,       0.0,        0.0
    2,        1.613883,   0.025587,   0.179851,           0.0,      0.0,      0.0,    0.074219,    0.273438,     0.675781,       0.0,       0.0,        0.0
    3,        1.498156,   0.033534,   0.25944 ,           0.0,      0.0,      0.0,    0.277344,    0.511719,     0.753906,       0.0,       0.0,        0.0
    4,        1.407407,   0.045188,   0.394101,           0.0,      0.0,      0.0,    0.535156,    0.703125,     0.78125 ,       0.0,       0.0,        0.0
    5,        1.32432 ,   0.056307,   0.490833,           0.0,      0.0,      0.0,    0.6875  ,    0.761719,     0.769531,       0.0,       0.0,        0.0
    6,        1.27252 ,   0.082159,   0.614048,           0.0,      0.0,      0.0,    0.777344,    0.792969,     0.800781,       0.0,       0.0,        0.0
    7,        1.250734,   0.1014  ,   0.67016 ,           0.0,      0.0,      0.0,    0.804688,    0.804688,     0.808594,       0.0,       0.0,        0.0
