epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.313311,0.114626,0.597266,0.0,0.0,0.0,0.1,0.330469,0.625781,0.0,0.0,0.0
1,0.310488,0.11299,0.595464,0.0,0.0,0.0,0.133594,0.359766,0.658984,0.0,0.0,0.0
2,0.30798,0.11532,0.605353,0.0,0.0,0.0,0.133203,0.367188,0.667578,0.0,0.0,0.0
3,0.306737,0.118282,0.610969,0.0,0.0,0.0,0.138672,0.370703,0.674219,0.0,0.0,0.0
4,0.303625,0.125006,0.624628,0.0,0.0,0.0,0.137109,0.389062,0.687891,0.0,0.0,0.0
5,0.30364,0.123886,0.620614,0.0,0.0,0.0,0.133984,0.373437,0.690625,0.0,0.0,0.0
