epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.051901,0.012974,0.560899,0.505224,0.0,0.0,0.0,0.0,0.096324,0.136882,0.224335,0.0,0.0,0.0
1,0.00986,0.013478,0.578642,0.504498,0.0,0.0,0.0,0.0,0.220532,0.267427,0.443599,0.0,0.0,0.0
2,0.006852,0.013734,0.645551,0.504383,0.0,0.0,0.0,0.0,0.188847,0.288973,0.560203,0.0,0.0,0.0
3,0.004385,0.014296,0.669734,0.504788,0.0,0.0,0.0,0.0,0.101394,0.239544,0.550063,0.0,0.0,0.0
4,0.002903,0.016458,0.696018,0.506602,0.0,0.0,0.0,0.0,0.077313,0.250951,0.591888,0.0,0.0,0.0
