epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.356059,0.086625,0.486779,0.0,0.0,0.0,0.029948,0.165365,0.523438,0.0,0.0,0.0
1,0.334567,0.078608,0.47617,0.0,0.0,0.0,0.063802,0.213542,0.550781,0.0,0.0,0.0
2,0.328101,0.081116,0.488178,0.0,0.0,0.0,0.057292,0.235677,0.549479,0.0,0.0,0.0
3,0.331844,0.084887,0.500018,0.0,0.0,0.0,0.080729,0.226562,0.563802,0.0,0.0,0.0
4,0.328357,0.087391,0.509973,0.0,0.0,0.0,0.074219,0.230469,0.566406,0.0,0.0,0.0
5,0.329056,0.090982,0.524547,0.0,0.0,0.0,0.095052,0.28776,0.585938,0.0,0.0,0.0
6,0.31918,0.092817,0.532977,0.0,0.0,0.0,0.075521,0.285156,0.60026,0.0,0.0,0.0
