epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top1,train_top5,train_top10,train_top50,val_top1,val_top5,val_top10,val_top50
0,0.082231,0.067758,nan,0.0,0.0,0.0,0.020833,0.075,0.13125,0.302083,0.0,0.0,0.0,0.0
0,0.08586,0.069398,0.615123,0.0,0.0,0.0,0.0,0.1875,0.25,0.3125,0.0,0.0,0.0,0.0
1,0.078234,0.044128,0.514931,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.3125,0.0,0.0,0.0,0.0
2,0.079906,0.04377,0.570134,0.0,0.0,0.0,0.0,0.0625,0.0625,0.25,0.0,0.0,0.0,0.0
3,0.078791,0.02474,0.48376,0.0,0.0,0.0,0.0,0.0625,0.0625,0.125,0.0,0.0,0.0,0.0
4,0.076453,0.065203,0.625648,0.0,0.0,0.0,0.0625,0.125,0.125,0.25,0.0,0.0,0.0,0.0
5,0.089529,0.050003,0.595948,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.0,0.0,0.0,0.0
6,0.083937,0.090101,0.694032,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7,0.060791,0.058863,0.560282,0.0,0.0,0.0,0.0,0.0,0.0625,0.3125,0.0,0.0,0.0,0.0
0,0.082056,0.065795,0.607605,0.0,0.0,0.0,0.016667,0.06875,0.1125,0.297917,0.0,0.0,0.0,0.0
1,0.083485,0.063975,0.609392,0.0,0.0,0.0,0.008333,0.045833,0.085417,0.30625,0.0,0.0,0.0,0.0
2,0.076375,0.072792,0.626698,0.0,0.0,0.0,0.010417,0.0625,0.122917,0.308333,0.0,0.0,0.0,0.0
3,0.073376,0.083478,0.659699,0.0,0.0,0.0,0.01875,0.08125,0.154167,0.402083,0.0,0.0,0.0,0.0
4,nan,nan,0.75994,0.0,0.0,0.0,0.204167,0.247917,0.285417,0.410417,0.0,0.0,0.0,0.0
5,nan,nan,0.8375,0.0,0.0,0.0,0.325,0.325,0.325,0.325,0.0,0.0,0.0,0.0
6,nan,nan,0.839583,0.0,0.0,0.0,0.320833,0.320833,0.320833,0.320833,0.0,0.0,0.0,0.0
7,nan,nan,0.8375,0.0,0.0,0.0,0.325,0.325,0.325,0.325,0.0,0.0,0.0,0.0
8,nan,nan,0.847917,0.0,0.0,0.0,0.304167,0.304167,0.304167,0.304167,0.0,0.0,0.0,0.0
9,nan,nan,0.834375,0.0,0.0,0.0,0.33125,0.33125,0.33125,0.33125,0.0,0.0,0.0,0.0
